Dates,Portolfio,Benchmark 
7/14/2022,107.66,131.4770211
7/15/2022,109.1,133.3886851
7/16/2022,111.1,133.3886851
7/17/2022,110.6,133.3886851
7/18/2022,112.7,132.5655707
7/19/2022,114.74,135.264306
7/20/2022,116.78,135.902019
7/21/2022,117.17,136.923542
7/22/2022,116.51,135.9934604
7/23/2022,115.61,135.9934604
7/24/2022,115.75,135.9934604
7/25/2022,115.89,136.1135412
7/26/2022,115.14,134.9305286
7/27/2022,118.57,137.5290059
7/28/2022,120.04,138.7818962
7/29/2022,122.14,140.2423316
7/30/2022,124.07,140.2423316
7/31/2022,123.66,140.2423316
8/1/2022,123.25,139.9439804
8/2/2022,122.69,139.2824936
8/3/2022,123.55,140.8520952
8/4/2022,123.76,140.7844538
8/5/2022,124.48,140.6126325
8/6/2022,124.81,140.6126325
8/7/2022,125.12,140.6126325
8/8/2022,125.43,140.4978878
8/9/2022,126.33,140.1010416
8/10/2022,127.23,142.2032697
8/11/2022,129.52,142.2032697
8/12/2022,131.81,143.8925283
8/13/2022,134.1,143.8925283
8/14/2022,136.39,143.8925283
8/15/2022,138.68,144.3065651
8/16/2022,138.5,144.5026731
8/17/2022,138.32,143.7900364
8/18/2022,137.11,144.0832026
8/19/2022,135.9,142.7375721
8/20/2022,134.69,142.7375721
8/21/2022,131.67,142.7375721
8/22/2022,132.28,140.6583895
8/23/2022,130.74,140.4131891
